Date,Team_ID,Team,Opponent,Result,Off Pass Att,Off Pass Yards,Off Int,Location,Off Rush Att,Off Rush Yards,Def Pass Att,Def Pass Yards,Def Rush Att,Def Rush Yards,Def Sacks,Def Sack Yards,Off Plays,Pen,Pen Yards
09/01/12,721,Air Force,FCS,W 49-21,11,142,0,home,58,484,53,365,28,66,2,16,69,4,47
09/08/12,721,Air Force,Michigan,L 25-31,19,127,0,away,71,290,25,208,31,214,0,0,90,5,35
09/22/12,721,Air Force,UNLV,L 35-38,9,90,0,away,65,352,32,250,40,199,0,0,74,4,24
09/29/12,721,Air Force,Colorado St.,W 42-21,5,57,0,home,67,459,36,312,34,129,1,6,72,7,30
10/06/12,721,Air Force,Navy,L 21-28,13,144,0,home,64,363,6,74,54,285,0,0,77,1,10
10/13/12,721,Air Force,Wyoming,W 28-27,10,141,0,away,51,230,37,195,44,252,0,0,61,2,10
10/20/12,721,Air Force,New Mexico,W 28-23,7,75,1,home,51,291,11,34,59,409,2,23,58,3,25
10/26/12,721,Air Force,Nevada,W 48-31,7,139,0,home,82,461,27,211,40,169,3,20,89,3,35
11/03/12,721,Air Force,Army,L 21-41,29,235,3,away,43,103,6,100,76,314,0,0,72,4,35
11/10/12,721,Air Force,San Diego St.,L 9-28,19,73,2,away,68,320,18,90,41,178,2,14,87,1,12
11/16/12,721,Air Force,Hawaii,W 21-7,0,0,0,home,68,338,29,125,31,37,4,35,68,2,20
11/24/12,721,Air Force,Fresno St.,L 15-48,10,63,1,away,68,254,34,479,43,124,1,7,78,3,13
12/29/12,721,Air Force,Rice,L 14-33,12,48,1,neutral,48,166,29,295,54,208,2,12,60,5,45
08/30/12,5,Akron,UCF,L 14-56,54,256,1,home,27,69,19,180,46,206,2,10,81,3,15
09/08/12,5,Akron,Florida Int'l,L 38-41,54,313,1,away,34,98,30,209,50,232,3,13,88,12,109
09/15/12,5,Akron,FCS,W 66-6,59,565,2,home,38,188,27,93,38,107,1,6,97,9,86
09/22/12,5,Akron,Tennessee,L 26-47,49,229,3,away,26,115,43,401,46,232,0,0,75,6,40
09/29/12,5,Akron,Miami (Ohio),L 49-56,43,446,1,home,26,183,49,516,39,189,2,15,69,10,92
10/06/12,5,Akron,Bowling Green,L 10-24,50,228,0,home,26,88,33,180,44,292,0,0,76,8,55
10/13/12,5,Akron,Ohio,L 28-34,53,298,2,away,33,158,28,189,53,252,1,7,86,7,55
10/20/12,5,Akron,Northern Ill.,L 7-37,29,157,1,home,37,42,33,223,50,305,0,0,66,7,67
10/27/12,5,Akron,Central Mich.,L 14-35,53,352,2,away,29,140,25,180,44,264,1,4,82,8,64
