Date,Team_ID,Team,Opponent,Result,Off Pass Att,Off Pass Yards,Off Int,Location,Off Rush Att,Off Rush Yards,Def Pass Att,Def Pass Yards,Def Rush Att,Def Rush Yards,Def Sacks,Def Sack Yards,Off Plays,Pen,Pen Yards
09/03/16,721,Air Force,FCS,W 37-21,11,201,0,home,69,401,33,259,31,86,2,8,80,7,72
09/10/16,721,Air Force,Georgia St.,W 48-14,9,67,0,home,83,464,27,142,14,27,1,3,92,2,30
09/24/16,721,Air Force,Utah St.,W 27-20,13,113,0,away,52,213,48,372,32,42,6,45,65,8,66
10/01/16,721,Air Force,Navy,W 28-14,15,257,1,home,53,173,31,260,38,57,6,41,68,5,70
10/08/16,721,Air Force,Wyoming,L 26-35,19,188,3,away,39,149,27,173,48,189,3,24,58,4,45
10/15/16,721,Air Force,New Mexico,L 40-45,24,280,0,neutral,49,251,8,70,55,373,0,0,73,4,41
10/22/16,721,Air Force,Hawaii,L 27-34,10,20,1,home,86,389,37,312,26,75,2,12,96,4,35
10/28/16,721,Air Force,Fresno St.,W 31-21,9,97,0,away,73,327,38,312,30,37,2,11,82,6,47
11/05/16,721,Air Force,Army,W 31-12,9,195,0,away,52,249,16,84,40,144,1,8,61,9,99
11/12/16,721,Air Force,Colorado St.,W 49-46,8,49,1,home,68,485,29,374,35,185,0,0,76,3,36
11/19/16,721,Air Force,San Jose St.,W 41-38,7,33,1,away,63,458,37,340,41,117,5,30,70,7,85
11/25/16,721,Air Force,Boise St.,W 27-20,6,45,1,home,77,314,26,316,25,84,0,0,83,3,30
12/30/16,721,Air Force,South Ala.,W 45-21,10,207,0,neutral,63,253,26,245,21,68,2,20,73,5,25
09/03/16,5,Akron,FCS,W 47-24,38,425,1,home,29,151,37,300,45,86,2,7,67,13,111
09/10/16,5,Akron,Wisconsin,L 10-54,25,136,1,away,21,88,27,292,55,294,1,6,46,8,66
09/17/16,5,Akron,Marshall,W 65-38,32,379,0,away,30,145,59,446,38,114,3,17,62,13,136
09/24/16,5,Akron,Appalachian St.,L 38-45,43,353,2,home,26,133,31,280,49,307,0,0,69,9,72
10/01/16,5,Akron,Kent St.,W 31-27,28,237,2,away,32,141,36,285,41,138,3,25,60,6,64
10/08/16,5,Akron,Miami (Ohio),W 35-13,29,174,0,home,35,125,28,153,34,107,2,16,64,1,5
10/15/16,5,Akron,Western Mich.,L 0-41,31,153,2,home,28,130,31,207,56,378,1,5,59,9,47
10/22/16,5,Akron,Ball St.,W 35-25,41,352,0,away,30,177,34,187,44,256,1,2,71,8,51
10/27/16,5,Akron,Buffalo,L 20-41,42,178,1,away,42,128,21,140,42,378,0,0,84,4,40
11/02/16,5,Akron,Toledo,L 17-48,36,348,2,home,25,96,38,332,48,290,0,0,61,5,63
11/09/16,5,Akron,Bowling Green,L 28-38,24,197,3,home,50,177,23,105,46,218,2,21,74,8,85
11/22/16,5,Akron,Ohio,L 3-9,27,131,0,away,32,95,25,169,36,130,1,6,59,7,67
09/03/16,8,Alabama,Southern California,W 52-6,18,223,1,neutral,45,242,37,130,30,64,3,20,63,4,29
09/10/16,8,Alabama,Western Ky.,W 38-10,42,351,0,home,39,124,38,216,22,23,4,39,81,12,84
09/17/16,8,Alabama,Mississippi,W 48-43,31,158,0,away,48,334,40,421,33,101,3,25,79,9,75
09/24/16,8,Alabama,Kent St.,W 48-0,34,217,0,home,46,285,16,84,30,82,3,26,80,2,20
10/01/16,8,Alabama,Kentucky,W 34-6,38,315,0,home,37,173,22,89,36,72,4,28,75,4,20
10/08/16,8,Alabama,Arkansas,W 49-30,17,253,1,away,34,264,48,400,36,73,7,53,51,7,86
10/15/16,8,Alabama,Tennessee,W 49-10,28,185,1,away,48,409,31,131,32,32,3,37,76,5,38
10/22/16,8,Alabama,Texas A&M,W 33-14,25,164,2,home,57,287,31,164,38,114,5,50,82,7,44
11/05/16,8,Alabama,LSU,W 10-0,19,107,1,away,51,216,24,92,27,33,5,22,70,6,29
11/12/16,8,Alabama,Mississippi St.,W 51-3,41,397,1,home,31,218,43,180,35,94,3,29,72,3,35
11/19/16,8,Alabama,FCS,W 31-3,21,136,0,home,37,196,24,114,30,70,0,0,58,1,10
11/26/16,8,Alabama,Auburn,W 30-12,37,298,2,home,44,203,19,116,26,66,1,5,81,4,28
12/03/16,8,Alabama,Florida,W 54-16,20,138,0,neutral,38,234,39,261,30,0,4,36,58,2,14
12/31/16,8,Alabama,Washington,W 24-7,14,57,0,neutral,50,269,38,150,29,44,5,38,64,11,66
01/09/17,8,Alabama,Clemson,L 31-35,32,155,0,neutral,34,221,57,420,42,91,4,25,66,9,82
09/01/16,27,Appalachian State,Tennessee,L 13-20,23,108,1,away,43,184,29,192,43,127,2,19,66,5,36
09/10/16,27,Appalachian State,Old Dominion,W 31-7,22,185,1,home,48,230,36,169,31,157,3,8,70,7,72
09/17/16,27,Appalachian State,Miami (Fla.),L 10-45,22,115,1,home,49,144,28,385,31,164,1,8,71,8,60
09/24/16,27,Appalachian State,Akron,W 45-38,31,280,0,away,49,307,43,353,26,133,4,24,80,7,77
10/01/16,27,Appalachian State,Georgia St.,W 17-3,25,143,1,home,48,218,44,153,25,88,0,0,73,9,101
10/12/16,27,Appalachian State,La.-Lafayette,W 24-0,26,201,1,away,37,171,35,128,41,139,5,38,63,5,50
10/22/16,27,Appalachian State,Idaho,W 37-19,25,246,0,home,37,129,41,294,26,63,4,29,62,5,39
10/27/16,27,Appalachian State,Ga. Southern,W 34-10,27,199,2,away,47,299,29,94,26,65,1,10,74,4,36
11/05/16,27,Appalachian State,Texas St.,W 35-10,22,136,0,home,38,303,38,183,28,14,4,31,60,9,79
11/12/16,27,Appalachian State,Troy,L 24-28,28,167,1,away,38,167,36,223,38,187,1,9,66,6,61
11/19/16,27,Appalachian State,La.-Monroe,W 42-17,22,208,0,home,47,429,32,136,44,225,1,9,69,6,65
11/26/16,27,Appalachian State,New Mexico St.,W 37-7,28,220,0,away,48,384,27,92,28,148,2,6,76,6,53
12/17/16,27,Appalachian State,Toledo,W 31-28,33,119,0,neutral,49,297,26,247,28,127,2,8,82,2,21
09/03/16,29,Arizona,Brigham Young,L 16-18,30,213,2,neutral,26,115,29,202,47,213,1,5,56,4,20
09/10/16,29,Arizona,FCS,W 31-21,30,223,0,home,47,222,44,402,36,60,5,43,77,7,65
09/17/16,29,Arizona,Hawaii,W 47-28,21,235,0,home,49,347,43,261,38,168,1,7,70,11,105
09/24/16,29,Arizona,Washington,L 28-35,31,167,1,home,43,308,21,160,51,352,4,20,74,2,30
10/01/16,29,Arizona,UCLA,L 24-45,31,145,0,away,49,242,37,350,32,125,0,0,80,5,40
10/08/16,29,Arizona,Utah,L 23-36,29,348,3,away,37,127,29,245,45,210,2,15,66,7,65
10/15/16,29,Arizona,Southern California,L 14-48,26,142,2,home,44,201,35,254,43,320,0,0,70,4,35
10/29/16,29,Arizona,Stanford,L 10-34,20,116,1,home,44,170,31,104,42,237,4,22,64,5,55
11/05/16,29,Arizona,Washington St.,L 7-69,23,128,2,away,30,158,52,474,32,140,0,0,53,7,85
11/12/16,29,Arizona,Colorado,L 24-49,26,155,0,home,52,257,27,213,46,175,2,18,78,13,138
11/19/16,29,Arizona,Oregon St.,L 17-42,31,188,1,away,40,162,19,265,46,210,1,7,71,3,29
11/25/16,29,Arizona,Arizona St.,W 56-35,8,77,0,home,48,511,60,372,38,120,2,8,56,8,101
09/03/16,28,Arizona State,FCS,W 44-13,27,180,1,home,46,276,33,369,34,56,1,2,73,5,40
09/10/16,28,Arizona State,Texas Tech,W 68-55,37,351,0,home,53,301,53,540,22,72,2,9,90,6,60
09/16/16,28,Arizona State,UTSA,W 32-28,31,264,1,away,48,205,37,229,30,93,4,24,79,3,30
09/24/16,28,Arizona State,California,W 51-41,30,290,1,home,50,164,56,478,37,159,3,24,80,5,44
10/01/16,28,Arizona State,Southern California,L 20-41,37,228,1,away,33,75,36,366,33,157,0,0,70,5,75
10/08/16,28,Arizona State,UCLA,W 23-20,39,196,2,home,34,79,54,444,23,-1,5,29,73,5,64
10/15/16,28,Arizona State,Colorado,L 16-40,35,149,1,away,28,50,32,265,52,315,1,4,63,2,20
10/22/16,28,Arizona State,Washington St.,L 32-37,24,167,0,home,35,113,53,398,19,-52,7,54,59,4,40
10/29/16,28,Arizona State,Oregon,L 35-54,40,329,3,away,36,139,42,489,46,245,4,33,76,6,49
11/10/16,28,Arizona State,Utah,L 26-49,32,355,2,home,47,41,37,296,22,201,1,4,79,8,75
11/19/16,28,Arizona State,Washington,L 18-44,33,230,1,away,27,15,44,338,33,201,0,0,60,9,66
11/25/16,28,Arizona State,Arizona,L 35-56,60,372,1,away,38,120,8,77,48,511,0,0,98,8,61
09/03/16,31,Arkansas,Louisiana Tech,W 21-20,29,191,2,home,40,106,31,212,23,79,3,20,69,4,35
09/10/16,31,Arkansas,TCU,W 41-38,29,223,0,away,43,180,58,377,32,195,3,18,72,5,45
09/17/16,31,Arkansas,Texas St.,W 42-3,22,241,0,home,44,226,26,83,26,22,4,40,66,7,40
09/24/16,31,Arkansas,Texas A&M,L 24-45,42,371,0,neutral,40,120,22,225,37,366,1,5,82,7,62
10/01/16,31,Arkansas,FCS,W 52-10,18,206,0,home,38,353,19,158,38,155,2,19,56,4,45
10/08/16,31,Arkansas,Alabama,L 30-49,48,400,3,home,36,73,17,253,34,264,0,0,84,6,60
10/15/16,31,Arkansas,Mississippi,W 34-30,32,229,1,home,51,200,39,253,31,150,2,9,83,6,71
10/22/16,31,Arkansas,Auburn,L 3-56,33,190,1,away,31,25,12,89,57,543,0,0,64,4,29
11/05/16,31,Arkansas,Florida,W 31-10,26,243,1,home,49,223,37,229,14,12,3,25,75,9,97
11/12/16,31,Arkansas,LSU,L 10-38,31,210,2,home,24,81,16,157,51,390,1,6,55,7,56
11/19/16,31,Arkansas,Mississippi St.,W 58-42,26,304,0,away,41,357,33,328,35,205,0,0,67,1,10
11/25/16,31,Arkansas,Missouri,L 24-28,39,348,2,away,46,155,26,268,30,131,2,26,85,8,55
12/29/16,31,Arkansas,Virginia Tech,L 24-35,31,278,3,neutral,34,36,34,243,44,159,4,18,65,12,75
09/02/16,30,Arkansas State,Toledo,L 10-31,25,124,0,home,38,142,31,371,45,185,0,0,63,6,48
09/10/16,30,Arkansas State,Auburn,L 14-51,30,260,0,away,35,66,23,244,62,462,1,2,65,10,71
09/16/16,30,Arkansas State,Utah St.,L 20-34,33,287,2,away,31,70,25,136,47,198,3,25,64,18,129
09/24/16,30,Arkansas State,FCS,L 23-28,38,424,2,home,34,45,37,270,46,112,1,10,72,8,63
10/05/16,30,Arkansas State,Ga. Southern,W 27-26,28,182,2,home,49,343,23,203,45,162,1,10,77,2,20
10/15/16,30,Arkansas State,South Ala.,W 17-7,13,93,1,home,54,204,27,194,31,61,6,39,67,4,25
10/29/16,30,Arkansas State,La.-Monroe,W 51-10,41,316,0,home,31,118,29,162,42,174,3,15,72,7,58
11/03/16,30,Arkansas State,Georgia St.,W 31-16,35,212,0,away,41,93,46,237,31,94,1,5,76,6,50
11/12/16,30,Arkansas State,New Mexico St.,W 41-22,29,293,1,home,38,160,45,256,40,182,6,35,67,6,51
11/17/16,30,Arkansas State,Troy,W 35-3,26,180,0,away,51,208,39,207,24,55,2,16,77,9,57
