TEAM,OPASS,ORUSH,OINT,DPASS,DRUSH,TPEN
AFA,6.933947703561412,4.405028869309468,0.07267479994752722,8.611794799662961,6.212274268243001,0.5111342883112224
AKR,5.302788671570365,2.8455499737431205,0.026530481013239633,7.480557364711122,5.332431846723096,0.8835923062983986
ALA,6.779588371494726,5.57485447077387,0.008397852147852148,5.506383098746233,2.6019489902684296,0.6479967034770662
APP,7.14090083323913,5.2936197420760385,0.020900825810870785,7.192958402283117,3.8594076271707856,0.8923323028922162
ARIZ,8.392635121137443,6.195760506204318,0.047878542470572834,7.9695293030129335,4.255995861950523,0.7383405947748286
ARK,6.233027217880158,4.148515840297111,0.022707103679619534,8.957885194146913,4.971079968067936,0.6865314134053868
ARMY,8.215538847117793,5.674098535455144,0.09847883597883599,6.929082842422896,5.813491116951795,0.5467384430443303
ARST,7.345851020650855,3.923012425375175,0.03854179910713113,7.234271980951141,3.4280175229987107,0.8879716592452749
ASU,6.750188460416255,3.7915166684464143,0.023660875351970034,7.591952747967486,4.783800960813111,0.5212949823012127
AUB,7.593955164521666,4.7743473888349435,0.012305628182193476,5.845575891852973,3.6670791480611595,0.49502323151115146
BALL,4.347524842091443,3.518993118617189,0.0325310165757931,9.435791320692875,5.0121167999584735,0.5306656087632796
BAY,6.1181210027653,2.9940557385302755,0.030213206543068635,8.626158074821662,5.002312763682478,0.8054600371537219
BC,5.624708592812041,4.542984858139025,0.027961819120355707,6.182342727082615,4.660208895912451,0.39555584999621324
BGSU,6.103883382233724,3.9889979404287517,0.03278344490885477,7.9899179690542015,5.67502919609861,0.8897007592549961
BSU,7.452192050620239,3.739792030248462,0.014611861455127611,6.41942751752685,3.2541026662590355,0.730261375934721
BUFF,8.143038473640111,3.5851074419719406,0.017171033971607855,7.300510575331919,4.281114291813831,0.7127456690931743
BYU,5.226927957854599,3.5296622368534405,0.04872104275102151,8.312923585716455,3.544835342352764,0.5946835869702444
CAL,5.64024936136331,3.105078207270397,0.024126212019701433,7.857200008037327,3.8883095326074555,0.7501646263910744
CCAR,6.411207605666095,3.9482218280900487,0.0293806257680938,7.7367411123026075,4.166989882480837,1.0335697310040963
CHAR,4.461834031100849,4.3724195949594,0.04802443775220544,7.986437152406808,4.8063199297054044,1.0554469605348826
CIN,5.594582430815183,4.375970911658786,0.022594423175818522,9.484825238230847,4.3275778576254265,1.094864750391215
CLEM,5.757353977040212,4.4935792478611525,0.020222013220927017,5.007378023170464,3.1581762486892444,0.615857568857851
CMU,6.961931608046453,3.573074388816424,0.03398944198795192,6.031866208239424,4.288508588016457,0.8780648352596486
COLO,6.194884168720731,3.5766450501630307,0.021288371606766415,7.588427163127424,5.201100928489798,0.6658690320858643
CONN,6.820027162912944,3.533318969451266,0.029646211990528012,8.518219480245186,5.046137232303386,0.6656064791413195
CSU,8.28196081596137,4.9208140394939734,0.020071316964969266,8.426358261076135,5.184135034849041,0.7424483647265158
DUKE,4.93986256856773,3.869199868774231,0.026820236011412483,10.183412486475499,3.8173061074305674,0.5509183945865562
ECU,6.932342282671389,3.2112700277379407,0.025221282961805383,10.970102335748988,5.523292239242665,0.767522355000855
EMU,6.843331105962434,3.5142272601430804,0.03393857760952574,6.411771199552043,4.2438212630176535,0.8172147523964748
FAU,8.059321381536234,5.664689170015257,0.017093079334458645,6.951763026382744,3.8614984765097544,0.7116678496574755
FIU,6.8400114238581935,4.124730675274728,0.028146734201446408,7.52204710278059,4.687264526396607,1.0171172132806932
FLA,5.073354734295538,4.134131512409768,0.02944293254638082,8.536677131935752,3.943710268179822,0.9151400034998068
FRES,7.305641020189057,4.107707358696457,0.01444973350076855,6.41638608988013,3.6229504380806685,0.6699694469539696
FSU,6.003892927472344,3.853711261275013,0.04179699209137614,5.793447536000727,3.798190520267092,0.8742723755740592
GASO,5.387842460569734,4.0044196349549255,0.03817587641117053,8.875561099595002,5.027983760994873,0.8039363532135219
GAST,7.116893130012721,3.2479030595917506,0.02090036465036465,7.614773024656151,3.7747135443168345,0.6827471726063988
GT,6.229125188536953,5.296324274327582,0.03984487734487734,7.009676589157069,4.502055979715483,0.47948438938246973
HAW,5.810755821239693,4.453497519320101,0.015568356060715993,9.158000101119297,5.354217052689604,0.9460507346078703
HOU,7.466734265495042,4.481228447085445,0.027921330982519296,7.148237537404609,3.697684611320439,0.7708950133013525
IDHO,5.540202740021899,3.235151677675601,0.014861608979256037,7.564112048623434,4.433999346494809,0.7384698160665657
ILL,4.448111520713822,3.3212780559332287,0.05245493613525589,7.137715944947318,4.4786816738505,1.07774124140148
IND,5.626944031978643,3.2077035568162118,0.02624305212093703,7.0648457807548715,3.6920437502579024,0.7929806092430772
IOWA,6.106922419759328,3.5384324405817207,0.01810678428325487,6.146330313434996,4.176539794321508,0.6274600961015396
ISU,7.007841793492017,3.3227587065184796,0.015755137045567535,7.415017237985373,3.4458890689743282,0.5349637905315587
KENT,3.419777744777745,3.3353163997354542,0.07581998380460381,7.546125963377693,5.364373029551544,1.1148982172131274
KSU,6.940149085693364,4.770625117571824,0.02981635798131962,7.649179866351065,3.4679171959313084,0.7261668637156588
KU,4.426351054651345,2.8942494094115623,0.03421560670168622,10.047874693863998,4.258862907118721,0.6567576554153832
LOU,7.7495943625414325,6.235457336232531,0.02397682816248735,7.489188185574602,3.9393655795845657,0.6865808688149384
LSU,7.6457423858786475,4.737117062969109,0.011519693782141188,6.690379310587111,3.5990752018067553,0.7451564343215593
LT,6.257459652865354,4.366536054136295,0.014384226884226884,7.268973217608761,4.750093341286674,0.5700050288051705
