TEAM,NAME,LOGIT,OPASS,ORUSH,OINT,DPASS,DRUSH,TPEN
MIA,Michigan,0.435980926,6.54584136,4.63959213,0.041177961,6.460681791,3.353477235,0.740244198
MICH,Minnesota,-1.601175179,5.175615296,4.299082367,0.024660759,6.33443133,3.309112768,0.870520785
MINN,Mississippi,-2.511771709,5.587672233,4.026447108,0.05166387,6.309065934,4.595852316,0.437490083
MISS,Missouri,-3.032371044,7.708442605,4.288623338,0.032850914,8.271762746,5.365345138,0.946582502
MIZ,Miami (Ohio),1.004778736,8.446552919,4.798466815,0.034185031,7.642353985,3.854735977,0.860675232
MRSH,Marshall,-0.389127821,6.743141224,3.947554776,0.029637725,6.816157355,3.283963946,0.889461757
MSST,Mississippi State,-3.986616996,5.649474823,5.171049275,0.042056659,8.513869114,4.01027283,0.716520182
MSU,Michigan State,-0.494791003,5.791458949,3.860211498,0.019881049,6.100153821,3.043612108,0.787368718
MTSU,Middle Tennessee,-0.578496105,6.294459158,4.058110499,0.035236081,6.570596892,3.289950024,0.898281393
NAVY,Navy,-3.132096082,7.223068598,5.477569268,0.144524773,9.528379176,4.156512484,0.569672628
NCST,North Carolina State,0.062606902,7.21249113,4.354459173,0.01249118,6.87961339,3.794556327,0.734336199
ND,Notre Dame,0.484212313,5.784827186,6.051832158,0.026975186,6.227699805,3.855910772,0.698593119
NEB,Nebraska,-3.999039445,6.523806575,3.375653446,0.036544817,7.271405749,5.279760386,0.885203813
NEV,Nevada,-3.510708734,6.97421045,4.191004752,0.03394227,8.530098952,4.471618679,0.64620207
NIU,Northern Illinois,-1.849541488,5.46468506,3.948762713,0.024708965,6.788089825,3.068888437,0.599684541
NMSU,New Mexico State,-1.959432988,6.307966299,3.715376282,0.034719579,6.791020134,4.050554198,0.737227812
NW,Northwestern,-1.156986684,5.777448142,3.861221982,0.024881243,6.454897848,3.202606656,0.624053488
ODU,Old Dominion,-4.776272375,5.153084098,4.31084554,0.034988021,7.646142995,4.569713379,0.547351761
OHIO,Ohio,0.993497067,6.964805032,5.838078797,0.029631519,7.200131001,3.439572623,0.686711368
OKLA,Oklahoma,5.22733554,10.99605714,5.578393659,0.012346402,7.40402004,4.277070231,0.857675807
OKST,Oklahoma State,2.676567921,9.602665232,4.643029743,0.017612003,7.946835286,3.334843669,0.604702653
ORE,Oregon,-1.221702735,5.799625736,4.927177789,0.048647957,6.870677769,3.500705332,1.235501068
ORST,Oregon State,-7.758535152,5.560339892,3.895429521,0.031592635,9.272362712,5.228395428,1.116203392
OSU,Ohio State,5.038670749,7.512912768,5.824976841,0.02377324,5.34863753,2.806039118,0.924419022
PITT,Pittsburgh,-2.918384929,6.356315449,3.616748641,0.022209744,7.579564506,3.897489547,0.616968408
PSU,Penn State,2.893307155,7.636020159,4.884584247,0.020428826,5.971002195,3.420720036,0.541741365
PUR,Purdue,-2.054464903,6.016986769,4.019068655,0.019445967,7.251053016,3.400960689,0.73741382
RICE,Rice,-4.104738155,5.90773962,4.505975163,0.067380596,7.873353976,4.760667048,0.637865797
RUTG,Rutgers,-6.967093672,4.249851681,3.497508043,0.037602976,7.641183404,4.662106104,0.866206102
SC,South Carolina,-2.140580985,6.06668962,3.468530744,0.031360632,6.794399047,3.70390346,0.647993893
SDSU,San Diego State,0.85307289,6.04923766,5.859969055,0.019877345,6.252009016,3.598243743,0.990712038
SJSU,San Jose State,-8.979916485,4.723060626,2.914366488,0.055235178,8.477662989,5.554132834,0.792012978
SMU,Southern Methodist,-3.031381664,7.23018206,4.934024378,0.029454598,8.6304927,4.831025072,0.823307457
STAN,Stanford,-1.390810557,6.531641797,5.88342715,0.02312793,7.499463887,4.726644164,0.787107425
SYR,Syracuse,-6.205647744,5.567927723,4.032725736,0.03460394,8.358711007,5.244545326,0.619271222
TAMU,Texas A&M,-1.897242378,6.554553048,3.745416308,0.030240998,7.000630718,4.088142126,0.63021689
TCU,Texas Christian,-0.119020807,7.037965529,4.402026943,0.016797585,7.364050092,3.09898257,0.802136991
TEM,Temple,-1.391995283,6.69955389,3.875149795,0.036818182,6.660289109,4.29369446,0.990866655
TENN,Tennessee,-6.331454171,4.834808367,3.369601137,0.030394013,7.099831231,5.510241956,0.685422497
TEX,Texas,-3.109213046,5.96081223,3.345691275,0.02216595,7.927843676,2.783375943,0.880561095
TLSA,Tulsa,-8.589922207,6.302266582,4.956053397,0.029652342,10.82481048,5.876325067,0.833658559
TOL,Toledo,1.997507372,8.916824684,4.87097208,0.019846339,6.897481736,4.586833675,1.039127891
TROY,Troy,0.626102956,7.181845049,4.376472502,0.014440441,7.19797619,2.79646617,0.783631365
TTU,Texas Tech,-2.142614599,6.901230726,3.813503145,0.023649657,7.353163936,4.290897401,0.957207184
TULN,Tulane,-5.197710531,6.307869656,4.768947049,0.030769537,8.602051386,5.57342079,0.686522886
TXST,Texas State,-6.791612411,5.267833955,3.258007445,0.02959401,9.05187955,3.814095395,0.500155419
UAB,Alabama-Birmingham,-2.651769915,5.817164791,4.279135413,0.019746577,6.585902357,4.82476933,0.750767319
UCF,Central Florida,3.408255243,9.894531221,5.298234636,0.020996253,7.406272235,4.254544396,0.954679011
UCLA,California-Los Angeles,-2.81742617,7.495054589,3.850877069,0.016959618,7.352827014,5.731863977,1.056496553
UGA,Georgia,4.878496912,8.410620279,5.816122206,0.036325253,5.696672546,3.670148542,0.893733456
UK,Kentucky,-3.970340906,6.196890595,4.129230382,0.018909629,7.954322474,4.580666852,0.770896702
ULL,Louisiana-Lafayette,-4.933056403,6.029429545,4.956830748,0.033401863,8.731277637,4.954785427,0.618111702
ULM,Louisiana-Monroe,-4.571119428,7.728014095,4.349339578,0.022118246,9.314355643,5.562576392,0.607720559
UMASS,Massachusetts-Amherst,-2.165203271,6.689592568,3.954297547,0.014852878,6.979958985,4.712346534,0.748951791
UMD,Maryland,-4.009997638,5.152152069,3.906358283,0.028891832,6.711748227,4.653557895,1.050842035
UNC,North Carolina,-5.233335174,5.252365935,3.538813242,0.048204697,7.419774191,4.632013042,1.123415253
UNLV,Nevada-Las Vegas,-2.295343835,6.456341656,5.120316172,0.03264253,7.223198816,5.246647358,0.523886398
UNM,New Mexico,-5.437658703,5.094840604,4.926609179,0.072307607,8.223237192,4.785855865,0.804661492
UNT,North Texas,-3.310358169,6.847928721,3.939013793,0.028970375,7.956335483,4.675935764,0.656976292
USA,South Alabama,-5.629158046,5.671624584,2.808694604,0.035608519,8.204300774,3.94298675,0.806663436
USC,Southern California,0.866904226,7.992154716,4.65869456,0.027821212,6.916926019,4.224128723,0.967822623
USF,South Florida,1.68675287,7.368281218,5.195066768,0.014352746,6.700438792,3.360069179,1.093725526
USM,Southern Mississippi,0.141288248,6.799491595,4.846234711,0.016565623,6.801190877,3.6491278,0.967243771
USU,Utah State,-1.635417549,5.923360768,4.425034479,0.029241777,6.292657492,4.508425233,0.830481995
UTAH,Utah,-0.349572584,6.672375524,3.794104448,0.029980359,6.246345176,3.822872725,0.758452476
UTEP,Texas-El Paso,-8.348765137,4.161781606,3.082638678,0.040719138,7.731394923,5.350420987,0.925790006
UTSA,Texas-San Antonio,-2.341413473,5.721193925,4.529439639,0.020861617,7.158605648,3.823913293,0.834540482
UVA,Virginia,-3.349565629,5.707006321,2.961151678,0.022715677,6.359534582,4.509638595,0.700913926
VAN,Vanderbilt,-3.843676023,6.659669833,3.354047831,0.022145936,7.751382354,4.670835646,0.801186328
VT,Virginia Tech,-1.707573921,6.889338632,3.823686138,0.022246089,7.840569984,3.299534775,0.571531267
WAKE,Wake Forest,0.720065415,7.773124921,4.347684954,0.014772993,6.679597419,4.216666872,0.592370824
WASH,Washington,3.228408768,7.399711143,4.737056854,0.017749644,6.045771009,2.562783116,0.539400504
WIS,Wisconsin,3.411603231,7.637203926,4.850720449,0.050792821,5.777252556,3.102007101,0.748493767
WKU,Western Kentucky,-4.269612678,6.357367692,1.775323337,0.018806127,6.855946561,4.537496112,0.718557275
WMU,Western Michigan,-3.391851822,5.562986616,4.405003383,0.027639569,7.303664227,4.330881485,0.677357821
WSU,Washington State,-4.116059784,5.776407606,2.436453933,0.028800717,6.84604827,4.209150113,0.682879331
WVU,West Virginia,-2.592457455,7.813715693,3.847343703,0.028012919,8.033600474,5.056935684,0.844533386
WYO,Wyoming,-3.151263911,5.381190139,3.249128185,0.021263933,6.937551128,3.363671049,0.661525349
