TEAM,LOGIT
AFA,-3.143362092002795
AKR,-3.510246637105508
ALA,1.6827710554253572
APP,-0.168137165514883
ARIZ,0.1738178956318442
ARK,-2.7565434115061036
ARMY,-0.9055309666634053
ARST,-0.7057791349454793
ASU,-1.7231189020149609
AUB,0.9664827520371267
BALL,-4.4044532694564795
BAY,-3.400744508059017
BC,-1.085298467689673
BGSU,-3.012007525716797
BSU,0.11942182620674097
BUFF,-0.6665548681181843
BYU,-2.6499233485973486
CAL,-2.4538496468405424
CCAR,-1.9052583036214648
CHAR,-3.453061313538555
CIN,-3.140570630652852
CLEM,0.411407787886538
CMU,-0.8994593018371183
COLO,-2.4430883980748566
CONN,-2.6134935333146987
CSU,-1.0724542177427372
DUKE,-3.5648106425264765
ECU,-4.337913106248715
EMU,-1.1381338452873015
FAU,0.8018629002752219
FIU,-1.7419901593220786
FLA,-2.777587865705873
FRES,0.054962711038915535
FSU,-0.9394872414420187
GASO,-3.5015605622628456
GAST,-1.300111783479129
GT,-0.8789278208664694
HAW,-3.2455679001133735
HOU,-0.2886810483688443
IDHO,-2.5042780728718697
ILL,-3.4142389294228215
IND,-1.9115318757904756
IOWA,-1.0853783609105747
ISU,-0.8863525471648699
KENT,-4.951356483687272
KSU,-0.55673038435525
KU,-4.6700517964253105
LOU,0.5421391728800518
LSU,0.4187657622187091
LT,-1.441482767429917
M-OH,-1.1019173800051527
MEM,0.3889551610130164
MIA,-0.2501543570663361
MICH,-1.0063913801925288
MINN,-1.6559935547812867
MISS,-1.980477379118065
MIZ,-0.05539289947713144
MRSH,-0.6311978577084878
MSST,-1.9508376542685149
MSU,-0.5207796213278657
MTSU,-0.7499092175241472
NAVY,-2.4485061893238322
NCST,-0.236944310968992
ND,0.059978072696316054
NEB,-2.5159290757731956
NEV,-1.889383106304726
NIU,-0.9758807256399126
NMSU,-1.3809371769086793
NW,-0.7630345889839731
ODU,-2.359888423400037
OHIO,0.29587280165058427
OKLA,1.8460346367049802
OKST,0.9457240082661467
ORE,-1.1812091430136638
ORST,-3.9153727297661365
OSU,1.8733568252668502
PITT,-1.552496200702782
PSU,1.0171219728113674
PUR,-1.109261623801364
RICE,-2.438912057016486
RUTG,-3.543555937587771
SC,-1.3581074386778003
SDSU,0.1372471825691618
SJSU,-4.67986004341911
SMU,-1.6866215090510952
STAN,-0.8241815641651934
SYR,-3.0913081680412464
TAMU,-1.2588670390887313
TCU,-0.24740370241532683
TEM,-1.322554972163353
TENN,-3.312566224679711
TEX,-1.6079599912963847
TLSA,-3.9847171772157384
TOL,0.24993432458654552
TROY,0.11696304383173595
TTU,-1.4708639558089818
TULN,-2.6267932259143154
TXST,-3.0858403501299194
UAB,-1.5613000276850908
UCF,0.9666965190857499
UCLA,-1.9552297208779548
UGA,1.5718529722993928
UK,-2.031669099550954
ULL,-2.3779328865594396
ULM,-2.3133240357716787
UMASS,-1.350257684633507
UMD,-2.353753634375001
UNC,-3.0864672351345366
UNLV,-1.3502067924695609
UNM,-3.0161871572760766
UNT,-1.857519623286983
USA,-2.952620630667346
USC,-0.20307994630515158
USF,0.40483259197048715
USM,-0.2579189838023136
USU,-1.222713841329515
UTAH,-0.6807515075439605
UTEP,-4.320514920688352
UTSA,-1.272741587519301
UVA,-2.0011063257235184
VAN,-2.1716585719158075
VT,-0.919393601017568
WAKE,-0.006919914743001299
WASH,1.2945797383838646
WIS,0.8782893843099848
WKU,-2.517409702808247
WMU,-1.768691752610608
WSU,-2.3715625371994538
WVU,-1.738242416057482
WYO,-1.640950819173498
