LABEL,HOME,OPASS,ORUSH,OINT,DPASS,DRUSH,TPEN
W,0,3.75,4.142857142857143,0.25,3.4545454545454546,4.242424242424242,0.6268656716417911
W,0,0.0,5.352112676056338,0.0,6.350877192982456,6.142857142857143,0.9358974358974359
L,1,10.615384615384615,1.2619047619047619,0.15384615384615385,10.125,3.7169811320754715,0.45454545454545453
L,1,8.761904761904763,4.053571428571429,0.0,19.0,3.6785714285714284,0.974025974025974
W,0,10.285714285714286,5.207792207792208,0.0,3.4210526315789473,1.2962962962962963,0.5119047619047619
W,0,20.0,5.088235294117647,0.0,8.366666666666667,4.371428571428571,0.8933333333333333
W,1,-0.5,3.289855072463768,0.3333333333333333,5.055555555555555,4.51063829787234,0.0
W,0,4.0,2.8979591836734695,0.125,4.115384615384615,2.9791666666666665,1.6666666666666667
W,1,21.375,5.568627450980392,0.0,6.972222222222222,3.433333333333333,0.423728813559322
L,1,4.9,6.333333333333333,0.05,9.567567567567568,3.5,1.028169014084507
L,0,0.09090909090909091,4.054054054054054,0.0,11.88888888888889,3.519230769230769,0.48936170212765956
L,0,4.75,3.626865671641791,0.0,7.636363636363637,5.09375,0.12941176470588237
L,0,5.564102564102564,3.1818181818181817,0.0,7.5,6.412698412698413,0.8135593220338984
W,0,8.678571428571429,4.739130434782608,0.038461538461538464,6.75,5.069767441860465,0.4166666666666667
L,1,6.170212765957447,4.25,0.08888888888888889,8.333333333333334,4.340909090909091,0.7945205479452054
W,0,8.16,4.135135135135135,0.0,4.846153846153846,3.3333333333333335,1.1290322580645162
L,1,5.022222222222222,3.1515151515151514,0.023809523809523808,8.473684210526315,3.3548387096774195,0.9066666666666666
W,0,5.829268292682927,2.0,0.07692307692307693,5.064516129032258,4.413793103448276,0.4852941176470588
L,1,4.428571428571429,4.904761904761905,0.029411764705882353,5.809523809523809,6.481481481481482,0.3815789473684211
W,0,9.238095238095237,8.071428571428571,0.0,7.588235294117647,4.439024390243903,0.2459016393442623
W,1,9.826086956521738,5.2727272727272725,0.043478260869565216,7.914285714285715,3.72,1.2238805970149254
L,1,7.7631578947368425,5.264705882352941,0.0,6.461538461538462,3.9298245614035086,0.9722222222222222
L,0,5.475,2.9574468085106385,0.0,7.928571428571429,3.9565217391304346,0.17857142857142858
L,0,4.1,5.32258064516129,0.07692307692307693,7.333333333333333,3.3636363636363638,0.5714285714285714
W,0,6.0,4.78,0.0,5.529411764705882,0.0,0.5
W,1,1.6296296296296295,3.8076923076923075,0.0,4.64,2.6875,0.8775510204081632
W,1,8.363636363636363,5.73469387755102,0.030303030303030304,4.461538461538462,1.9090909090909092,0.3048780487804878
W,0,3.875,9.371428571428572,0.06666666666666667,4.717391304347826,2.967741935483871,0.2
W,0,11.764705882352942,2.8666666666666667,0.0,6.372093023255814,3.125,0.14754098360655737
W,1,4.3,5.755102040816326,0.058823529411764705,5.738095238095238,1.75,1.393939393939394
W,1,7.518518518518518,3.1470588235294117,0.04,6.090909090909091,4.647058823529412,0.9322033898305084
W,0,7.833333333333333,4.1395348837209305,0.0,4.892857142857143,1.7142857142857142,0.5223880597014925
W,1,4.433333333333334,5.694444444444445,0.03571428571428571,3.9411764705882355,2.4594594594594597,0.515625
W,0,6.935483870967742,3.72972972972973,0.03225806451612903,5.323529411764706,4.369565217391305,0.35294117647058826
W,1,7.428571428571429,4.125,0.0,4.714285714285714,1.5909090909090908,0.7761194029850746
W,1,9.210526315789474,4.68,0.0,4.913043478260869,1.9,0.058823529411764705
L,0,6.769230769230769,4.121212121212121,0.04,9.818181818181818,3.380952380952381,0.5344827586206896
L,0,3.263157894736842,0.9393939393939394,0.06666666666666667,8.195121951219512,0.5416666666666666,1.0634920634920635
W,1,8.258064516129032,5.408163265306122,0.0,1.7777777777777777,2.56,0.75
W,1,8.314285714285715,4.636363636363637,0.0,5.483870967741935,3.0833333333333335,0.5373134328358209
L,0,5.735849056603773,2.7916666666666665,0.04,6.333333333333333,4.702127659574468,0.2702702702702703
W,0,6.774193548387097,3.1714285714285713,0.0,2.6129032258064515,4.107142857142857,0.375
W,1,7.125,5.019607843137255,0.0,6.464285714285714,2.25,0.1388888888888889
L,0,6.594594594594595,3.347826086956522,0.0,6.333333333333333,5.958333333333333,0.7368421052631579
W,1,6.387096774193548,4.365853658536586,0.037037037037037035,5.625,4.782608695652174,0.0
L,1,1.7941176470588236,3.3333333333333335,0.03225806451612903,6.0,3.682926829268293,0.2459016393442623
W,0,13.25,5.56140350877193,0.06666666666666667,5.7,3.2413793103448274,0.9722222222222222
L,0,6.285714285714286,3.826923076923077,0.043478260869565216,11.037037037037036,6.866666666666666,0.20408163265306123
L,1,5.8,3.3902439024390243,0.0,7.0,5.03030303030303,0.47619047619047616
W,1,7.2105263157894735,2.625,0.02702702702702703,4.0,1.6521739130434783,0.987012987012987
W,0,8.805555555555555,3.25,0.0,7.130434782608695,3.625,0.8571428571428571
W,1,8.842105263157896,3.5277777777777777,0.027777777777777776,3.870967741935484,3.7666666666666666,1.4861111111111112
L,1,9.2,3.638888888888889,0.043478260869565216,5.833333333333333,3.6486486486486487,0.5932203389830508
L,1,4.575,0.21052631578947367,0.0,10.178571428571429,4.512820512820513,0.9090909090909091
L,0,3.763157894736842,2.21875,0.05714285714285714,7.071428571428571,2.393939393939394,0.6716417910447762
L,0,3.275,2.0833333333333335,0.08108108108108109,6.103448275862069,5.25,0.7945205479452054
